id,transgenic-line,product-id,structure-id,structure-abbrev,structure-name,name,injection-volume,injection-structures,gender,strain,sum,structure-color,num-voxels,injection-coordinates,selected,experiment_page_url
166153483,Rbp4-Cre_KL100,5,119,AIv,"Agranular insular area, ventral part",Rbp4-Cre-103,0.41579204799999997,"[{""id""=>104, ""abbreviation""=>""AId"", ""name""=>""Agranular insular area, dorsal part"", ""color""=>""219866""}, {""id""=>119, ""abbreviation""=>""AIv"", ""name""=>""Agranular insular area, ventral part"", ""color""=>""219866""}, {""id""=>583, ""abbreviation""=>""CLA"", ""name""=>""Claustrum"", ""color""=>""8ADA87""}, {""id""=>985, ""abbreviation""=>""MOp"", ""name""=>""Primary motor area"", ""color""=>""1F9D5A""}]",M,"",2.440703608314457,219866,,"[3530, 4540, 8340]",false,https://connectivity.brain-map.org/projection/experiment/166153483
287769286,Rbp4-Cre_KL100,5,746,ORBvl,"Orbital area, ventrolateral part",Rbp4-Cre_KL100-307,0.2963280096,"[{""id""=>723, ""abbreviation""=>""ORBl"", ""name""=>""Orbital area, lateral part"", ""color""=>""248A5E""}, {""id""=>746, ""abbreviation""=>""ORBvl"", ""name""=>""Orbital area, ventrolateral part"", ""color""=>""248A5E""}]",F,C57BL/6J,2.4339704229935415,248a5e,,"[2590, 3890, 6810]",false,https://connectivity.brain-map.org/projection/experiment/287769286
125833030,Rbp4-Cre_KL100,5,39,ACAd,"Anterior cingulate area, dorsal part",Rbp4-Cre-49,0.1994364484,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>48, ""abbreviation""=>""ACAv"", ""name""=>""Anterior cingulate area, ventral part"", ""color""=>""40A666""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",M,"",2.4188416066335927,40a666,,"[4570, 2180, 6180]",false,https://connectivity.brain-map.org/projection/experiment/125833030
180916954,"",5,993,MOs,Secondary motor area,378-1824,0.5682902792,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>985, ""abbreviation""=>""MOp"", ""name""=>""Primary motor area"", ""color""=>""1F9D5A""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",M,C57BL/6J,2.3792827510375,1f9d5a,,"[5070, 2170, 6610]",false,https://connectivity.brain-map.org/projection/experiment/180916954
480994108,Rbp4-Cre_KL100,36,746,ORBvl,"Orbital area, ventrolateral part",Rbp4-Cre_KL100-195013,0.5335508864,"[{""id""=>159, ""abbreviation""=>""AON"", ""name""=>""Anterior olfactory nucleus"", ""color""=>""54BF94""}, {""id""=>507, ""abbreviation""=>""MOB"", ""name""=>""Main olfactory bulb"", ""color""=>""9AD2BD""}, {""id""=>723, ""abbreviation""=>""ORBl"", ""name""=>""Orbital area, lateral part"", ""color""=>""248A5E""}, {""id""=>731, ""abbreviation""=>""ORBm"", ""name""=>""Orbital area, medial part"", ""color""=>""248A5E""}, {""id""=>746, ""abbreviation""=>""ORBvl"", ""name""=>""Orbital area, ventrolateral part"", ""color""=>""248A5E""}, {""id""=>972, ""abbreviation""=>""PL"", ""name""=>""Prelimbic area"", ""color""=>""2FA850""}]",M,C57BL/6J,2.37735882522031,248a5e,,"[2770, 4220, 4910]",false,https://connectivity.brain-map.org/projection/experiment/480994108
156741826,Rbp4-Cre_KL100,5,723,ORBl,"Orbital area, lateral part",Rbp4-Cre-52,0.4227653752,"[{""id""=>184, ""abbreviation""=>""FRP"", ""name""=>""Frontal pole, cerebral cortex"", ""color""=>""268F45""}, {""id""=>723, ""abbreviation""=>""ORBl"", ""name""=>""Orbital area, lateral part"", ""color""=>""248A5E""}, {""id""=>746, ""abbreviation""=>""ORBvl"", ""name""=>""Orbital area, ventrolateral part"", ""color""=>""248A5E""}]",M,"",2.341764305469664,248a5e,,"[2570, 3810, 6810]",false,https://connectivity.brain-map.org/projection/experiment/156741826
146593590,"",5,39,ACAd,"Anterior cingulate area, dorsal part",378-1487,0.17721977,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>48, ""abbreviation""=>""ACAv"", ""name""=>""Anterior cingulate area, ventral part"", ""color""=>""40A666""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",M,C57BL/6J,2.303107786582422,40a666,,"[5270, 1650, 6180]",false,https://connectivity.brain-map.org/projection/experiment/146593590
287248684,Gpr26-Cre_KO250,5,39,ACAd,"Anterior cingulate area, dorsal part",Gpr26-Cre_KO250-122,0.113622964,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",F,"",2.2607011022449215,40a666,,"[4280, 1960, 6040]",false,https://connectivity.brain-map.org/projection/experiment/287248684
305618479,Glt25d2-Cre_NF107,5,972,PL,Prelimbic area,Glt25d2-Cre_NF107-144892,0.42414693448749996,"[{""id""=>44, ""abbreviation""=>""ILA"", ""name""=>""Infralimbic area"", ""color""=>""59B363""}, {""id""=>731, ""abbreviation""=>""ORBm"", ""name""=>""Orbital area, medial part"", ""color""=>""248A5E""}, {""id""=>972, ""abbreviation""=>""PL"", ""name""=>""Prelimbic area"", ""color""=>""2FA850""}]",M,"",2.247512166675781,2fa850,,"[2950, 3110, 5690]",false,https://connectivity.brain-map.org/projection/experiment/305618479
294434161,Cux2-IRES-Cre,5,48,ACAv,"Anterior cingulate area, ventral part",Cux2-IRES-Cre-126690,0.3339583632,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>48, ""abbreviation""=>""ACAv"", ""name""=>""Anterior cingulate area, ventral part"", ""color""=>""40A666""}, {""id""=>972, ""abbreviation""=>""PL"", ""name""=>""Prelimbic area"", ""color""=>""2FA850""}]",M,C57BL/6J,2.2353238645267064,40a666,,"[3850, 2470, 5990]",false,https://connectivity.brain-map.org/projection/experiment/294434161
480703321,Slc17a6-IRES-Cre,35,362,MD,Mediodorsal nucleus of thalamus,Slc17a6-IRES-Cre-193491,0.45083400377968696,"[{""id""=>59, ""abbreviation""=>""IMD"", ""name""=>""Intermediodorsal nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>127, ""abbreviation""=>""AM"", ""name""=>""Anteromedial nucleus"", ""color""=>""FF909F""}, {""id""=>255, ""abbreviation""=>""AV"", ""name""=>""Anteroventral nucleus of thalamus"", ""color""=>""FF909F""}, {""id""=>362, ""abbreviation""=>""MD"", ""name""=>""Mediodorsal nucleus of thalamus"", ""color""=>""FF909F""}, {""id""=>575, ""abbreviation""=>""CL"", ""name""=>""Central lateral nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>599, ""abbreviation""=>""CM"", ""name""=>""Central medial nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>629, ""abbreviation""=>""VAL"", ""name""=>""Ventral anterior-lateral complex of the thalamus"", ""color""=>""FF8084""}, {""id""=>907, ""abbreviation""=>""PCN"", ""name""=>""Paracentral nucleus"", ""color""=>""FF909F""}, {""id""=>1113, ""abbreviation""=>""IAD"", ""name""=>""Interanterodorsal nucleus of the thalamus"", ""color""=>""FF909F""}]",M,C57BL/6J,2.2346547441708893,ff909f,,"[6210, 4150, 5440]",false,https://connectivity.brain-map.org/projection/experiment/480703321
583747816,Emx1-IRES-Cre,36,39,ACAd,"Anterior cingulate area, dorsal part",Emx1-IRES-Cre-305958,0.5722432464,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>48, ""abbreviation""=>""ACAv"", ""name""=>""Anterior cingulate area, ventral part"", ""color""=>""40A666""}, {""id""=>972, ""abbreviation""=>""PL"", ""name""=>""Prelimbic area"", ""color""=>""2FA850""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",F,"",2.2312473508335935,40a666,,"[3810, 2550, 5570]",false,https://connectivity.brain-map.org/projection/experiment/583747816
272781246,Cux2-IRES-Cre,5,731,ORBm,"Orbital area, medial part",Cux2-IRES-Cre-285,0.349502953920312,"[{""id""=>507, ""abbreviation""=>""MOB"", ""name""=>""Main olfactory bulb"", ""color""=>""9AD2BD""}, {""id""=>731, ""abbreviation""=>""ORBm"", ""name""=>""Orbital area, medial part"", ""color""=>""248A5E""}, {""id""=>746, ""abbreviation""=>""ORBvl"", ""name""=>""Orbital area, ventrolateral part"", ""color""=>""248A5E""}, {""id""=>972, ""abbreviation""=>""PL"", ""name""=>""Prelimbic area"", ""color""=>""2FA850""}]",M,B6.129,2.172864111232226,248a5e,,"[2400, 3560, 5690]",false,https://connectivity.brain-map.org/projection/experiment/272781246
267928844,Prkcd-GluCla-CFP-IRES-Cre,5,362,MD,Mediodorsal nucleus of thalamus,Prkcd-GluCla-CFP-IRES-Cre-129,0.2671257736,"[{""id""=>64, ""abbreviation""=>""AD"", ""name""=>""Anterodorsal nucleus"", ""color""=>""FF909F""}, {""id""=>155, ""abbreviation""=>""LD"", ""name""=>""Lateral dorsal nucleus of thalamus"", ""color""=>""FF909F""}, {""id""=>186, ""abbreviation""=>""LH"", ""name""=>""Lateral habenula"", ""color""=>""FF909F""}, {""id""=>218, ""abbreviation""=>""LP"", ""name""=>""Lateral posterior nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>255, ""abbreviation""=>""AV"", ""name""=>""Anteroventral nucleus of thalamus"", ""color""=>""FF909F""}, {""id""=>362, ""abbreviation""=>""MD"", ""name""=>""Mediodorsal nucleus of thalamus"", ""color""=>""FF909F""}, {""id""=>575, ""abbreviation""=>""CL"", ""name""=>""Central lateral nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>726, ""abbreviation""=>""DG"", ""name""=>""Dentate gyrus"", ""color""=>""7ED04B""}]",M,C57BL/6J,2.1044413426718336,ff909f,,"[6280, 3630, 6510]",false,https://connectivity.brain-map.org/projection/experiment/267928844
113144533,"",5,295,BLA,Basolateral amygdalar nucleus,378-1098,0.33077422559999997,"[{""id""=>295, ""abbreviation""=>""BLA"", ""name""=>""Basolateral amygdalar nucleus"", ""color""=>""9DE79C""}, {""id""=>536, ""abbreviation""=>""CEA"", ""name""=>""Central amygdalar nucleus"", ""color""=>""80C0E2""}, {""id""=>672, ""abbreviation""=>""CP"", ""name""=>""Caudoputamen"", ""color""=>""98D6F9""}]",M,C57BL/6J,2.0305254950421867,9de79c,,"[7240, 5730, 8580]",false,https://connectivity.brain-map.org/projection/experiment/113144533
112458114,"",5,39,ACAd,"Anterior cingulate area, dorsal part",378-949,0.12302790640000001,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>48, ""abbreviation""=>""ACAv"", ""name""=>""Anterior cingulate area, ventral part"", ""color""=>""40A666""}]",M,C57BL/6J,1.9977432413838874,40a666,,"[4290, 2330, 6120]",false,https://connectivity.brain-map.org/projection/experiment/112458114
112514202,"",5,48,ACAv,"Anterior cingulate area, ventral part",378-963,0.22233861719999998,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>48, ""abbreviation""=>""ACAv"", ""name""=>""Anterior cingulate area, ventral part"", ""color""=>""40A666""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",M,C57BL/6J,1.990853110200048,40a666,,"[4220, 1940, 6210]",false,https://connectivity.brain-map.org/projection/experiment/112514202
267610466,Prkcd-GluCla-CFP-IRES-Cre,5,362,MD,Mediodorsal nucleus of thalamus,Prkcd-GluCla-CFP-IRES-Cre-118,0.35812406560000004,"[{""id""=>127, ""abbreviation""=>""AM"", ""name""=>""Anteromedial nucleus"", ""color""=>""FF909F""}, {""id""=>255, ""abbreviation""=>""AV"", ""name""=>""Anteroventral nucleus of thalamus"", ""color""=>""FF909F""}, {""id""=>362, ""abbreviation""=>""MD"", ""name""=>""Mediodorsal nucleus of thalamus"", ""color""=>""FF909F""}, {""id""=>575, ""abbreviation""=>""CL"", ""name""=>""Central lateral nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>629, ""abbreviation""=>""VAL"", ""name""=>""Ventral anterior-lateral complex of the thalamus"", ""color""=>""FF8084""}, {""id""=>907, ""abbreviation""=>""PCN"", ""name""=>""Paracentral nucleus"", ""color""=>""FF909F""}, {""id""=>1113, ""abbreviation""=>""IAD"", ""name""=>""Interanterodorsal nucleus of the thalamus"", ""color""=>""FF909F""}]",F,C57BL/6J,1.9777562093814158,ff909f,,"[6310, 3910, 6430]",false,https://connectivity.brain-map.org/projection/experiment/267610466
159331462,Cck-IRES-Cre,5,15,PT,Parataenial nucleus,Cck-IRES-Cre-53,0.278802235155664,"[{""id""=>15, ""abbreviation""=>""PT"", ""name""=>""Parataenial nucleus"", ""color""=>""FF909F""}, {""id""=>127, ""abbreviation""=>""AM"", ""name""=>""Anteromedial nucleus"", ""color""=>""FF909F""}, {""id""=>149, ""abbreviation""=>""PVT"", ""name""=>""Paraventricular nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>181, ""abbreviation""=>""RE"", ""name""=>""Nucleus of reuniens"", ""color""=>""FF909F""}, {""id""=>255, ""abbreviation""=>""AV"", ""name""=>""Anteroventral nucleus of thalamus"", ""color""=>""FF909F""}, {""id""=>1113, ""abbreviation""=>""IAD"", ""name""=>""Interanterodorsal nucleus of the thalamus"", ""color""=>""FF909F""}]",F,"",1.958662645408355,ff909f,,"[5540, 4710, 6070]",false,https://connectivity.brain-map.org/projection/experiment/159331462
265712971,Gpr26-Cre_KO250,5,48,ACAv,"Anterior cingulate area, ventral part",Gpr26-Cre_KO250-85,0.126259181728944,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>48, ""abbreviation""=>""ACAv"", ""name""=>""Anterior cingulate area, ventral part"", ""color""=>""40A666""}]",M,"",1.9456245309142526,40a666,,"[4850, 2100, 6150]",false,https://connectivity.brain-map.org/projection/experiment/265712971
126117554,Rbp4-Cre_KL100,5,48,ACAv,"Anterior cingulate area, ventral part",Rbp4-Cre-50,0.135139795,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>48, ""abbreviation""=>""ACAv"", ""name""=>""Anterior cingulate area, ventral part"", ""color""=>""40A666""}]",M,"",1.9253034699141105,40a666,,"[4900, 2110, 6200]",false,https://connectivity.brain-map.org/projection/experiment/126117554
287995889,Efr3a-Cre_NO108,5,993,MOs,Secondary motor area,Efr3a-Cre_NO108-79,0.47414410960000003,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",F,FVB.CD1(ICR),1.8779495297828088,1f9d5a,,"[4280, 2630, 6630]",false,https://connectivity.brain-map.org/projection/experiment/287995889
141603190,"",5,993,MOs,Secondary motor area,378-1351,0.1705569068,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>993, ""abbreviation""=>""MOs"", ""name""=>""Secondary motor area"", ""color""=>""1F9D5A""}]",M,C57BL/6J,1.833791592680464,1f9d5a,,"[4180, 2160, 6300]",false,https://connectivity.brain-map.org/projection/experiment/141603190
161458737,Rbp4-Cre_KL100,5,48,ACAv,"Anterior cingulate area, ventral part",Rbp4-Cre-83,0.3920265776,"[{""id""=>39, ""abbreviation""=>""ACAd"", ""name""=>""Anterior cingulate area, dorsal part"", ""color""=>""40A666""}, {""id""=>48, ""abbreviation""=>""ACAv"", ""name""=>""Anterior cingulate area, ventral part"", ""color""=>""40A666""}]",F,"",1.8268005351032224,40a666,,"[4400, 2310, 6200]",false,https://connectivity.brain-map.org/projection/experiment/161458737
159432479,Cck-IRES-Cre,5,15,PT,Parataenial nucleus,Cck-IRES-Cre-57,0.38807878479999997,"[{""id""=>15, ""abbreviation""=>""PT"", ""name""=>""Parataenial nucleus"", ""color""=>""FF909F""}, {""id""=>127, ""abbreviation""=>""AM"", ""name""=>""Anteromedial nucleus"", ""color""=>""FF909F""}, {""id""=>149, ""abbreviation""=>""PVT"", ""name""=>""Paraventricular nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>181, ""abbreviation""=>""RE"", ""name""=>""Nucleus of reuniens"", ""color""=>""FF909F""}, {""id""=>189, ""abbreviation""=>""RH"", ""name""=>""Rhomboid nucleus"", ""color""=>""FF909F""}, {""id""=>599, ""abbreviation""=>""CM"", ""name""=>""Central medial nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>1113, ""abbreviation""=>""IAD"", ""name""=>""Interanterodorsal nucleus of the thalamus"", ""color""=>""FF909F""}, {""id""=>1120, ""abbreviation""=>""IAM"", ""name""=>""Interanteromedial nucleus of the thalamus"", ""color""=>""FF909F""}]",F,"",1.7795674816582878,ff909f,,"[5850, 4690, 5540]",false,https://connectivity.brain-map.org/projection/experiment/159432479
