"","uid","treatment","location","n","total_cells","normalized_cell_count"
"18","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Anterior olfactory nucleus",13,3003,0.00432900432900433
"19","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Anterolateral visual area, layer 2/3",2,3003,0.000666000666000666
"20","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Entorhinal area, lateral part, layer 6a",5,3003,0.00166500166500167
"21","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Agranular insular area, dorsal part, layer 2/3",12,3003,0.003996003996004
"22","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Parasubiculum",4,3003,0.00133200133200133
"23","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","alveus",10,3003,0.00333000333000333
"24","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Perirhinal area, layer 5",2,3003,0.000666000666000666
"25","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","middle cerebellar peduncle",11,3003,0.00366300366300366
"26","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Agranular insular area, ventral part, layer 2/3",4,3003,0.00133200133200133
"27","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Olfactory areas",17,3003,0.00566100566100566
"28","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, barrel field, layer 6a",9,3003,0.002997002997003
"29","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","posteromedial visual area, layer 5",3,3003,0.000999000999000999
"30","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","fimbria",4,3003,0.00133200133200133
"31","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Agranular insular area, posterior part, layer 6a",2,3003,0.000666000666000666
"32","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Dorsal auditory area, layer 2/3",2,3003,0.000666000666000666
"33","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary motor area, Layer 6b",2,3003,0.000666000666000666
"34","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Nucleus accumbens",10,3003,0.00333000333000333
"35","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Agranular insular area, posterior part, layer 1",2,3003,0.000666000666000666
"36","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Diagonal band nucleus",11,3003,0.00366300366300366
"37","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","arbor vitae",51,3003,0.016983016983017
"38","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Orbital area, lateral part, layer 6a",4,3003,0.00133200133200133
"39","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Postpiriform transition area",7,3003,0.00233100233100233
"40","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Posterior amygdalar nucleus",5,3003,0.00166500166500167
"41","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Prelimbic area, layer 6a",31,3003,0.0103230103230103
"42","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Cerebellum",3,3003,0.000999000999000999
"43","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","amygdalar capsule",4,3003,0.00133200133200133
"44","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Retrosplenial area, dorsal part, layer 6a",3,3003,0.000999000999000999
"45","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","corpus callosum, posterior forceps",8,3003,0.00266400266400266
"46","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Medulla",25,3003,0.00832500832500833
"47","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Spinal nucleus of the trigeminal, caudal part",3,3003,0.000999000999000999
"48","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Pontine gray",14,3003,0.00466200466200466
"49","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","genu of corpus callosum",3,3003,0.000999000999000999
"50","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Dorsal auditory area, layer 5",3,3003,0.000999000999000999
"51","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Retrosplenial area, lateral agranular part, layer 5",5,3003,0.00166500166500167
"52","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Medullary reticular nucleus, ventral part",2,3003,0.000666000666000666
"53","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Midbrain",5,3003,0.00166500166500167
"54","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Entorhinal area, medial part, dorsal zone, layer 1",5,3003,0.00166500166500167
"55","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Prelimbic area, layer 2/3",22,3003,0.00732600732600733
"56","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Entorhinal area, medial part, dorsal zone, layer 2",28,3003,0.00932400932400932
"57","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Superior colliculus, zonal layer",3,3003,0.000999000999000999
"58","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Subiculum",11,3003,0.00366300366300366
"59","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Basolateral amygdalar nucleus, ventral part",2,3003,0.000666000666000666
"60","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Basomedial amygdalar nucleus, anterior part",8,3003,0.00266400266400266
"61","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Anterior cingulate area, dorsal part, layer 6a",32,3003,0.0106560106560107
"62","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","medial lemniscus",7,3003,0.00233100233100233
"63","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Gustatory areas, layer 1",2,3003,0.000666000666000666
"64","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Facial motor nucleus",8,3003,0.00266400266400266
"65","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Entorhinal area, lateral part, layer 3",13,3003,0.00432900432900433
"66","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Uvula (IX)",6,3003,0.001998001998002
"67","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, nose, layer 5",3,3003,0.000999000999000999
"68","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Central amygdalar nucleus, medial part",4,3003,0.00133200133200133
"69","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, nose, layer 6a",3,3003,0.000999000999000999
"70","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Lateral posterior nucleus of the thalamus",8,3003,0.00266400266400266
"71","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Anterior cingulate area, dorsal part, layer 2/3",7,3003,0.00233100233100233
"72","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Postsubiculum",3,3003,0.000999000999000999
"73","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Orbital area, ventrolateral part, layer 5",13,3003,0.00432900432900433
"74","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Olfactory tubercle",36,3003,0.011988011988012
"75","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Lateral amygdalar nucleus",9,3003,0.002997002997003
"76","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Lobules IV-V",123,3003,0.040959040959041
"77","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Superior colliculus, superficial gray layer",5,3003,0.00166500166500167
"78","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Anterolateral visual area, layer 5",2,3003,0.000666000666000666
"79","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, lower limb, layer 5",2,3003,0.000666000666000666
"80","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Infralimbic area, layer 1",2,3003,0.000666000666000666
"81","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary visual area, layer 4",12,3003,0.003996003996004
"82","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","lateral ventricle",8,3003,0.00266400266400266
"83","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Inferior colliculus, external nucleus",16,3003,0.00532800532800533
"84","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","posteromedial visual area, layer 4",4,3003,0.00133200133200133
"85","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, mouth, layer 1",3,3003,0.000999000999000999
"86","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Posterolateral visual area, layer 5",5,3003,0.00166500166500167
"87","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Entorhinal area, medial part, dorsal zone, layer 3",13,3003,0.00432900432900433
"88","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Ventral cochlear nucleus",22,3003,0.00732600732600733
"89","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Basolateral amygdalar nucleus, anterior part",5,3003,0.00166500166500167
"90","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Retrosplenial area, dorsal part, layer 5",10,3003,0.00333000333000333
"91","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Prelimbic area, layer 5",76,3003,0.0253080253080253
"92","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Entorhinal area, medial part, dorsal zone, layer 5",7,3003,0.00233100233100233
"93","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Anterior cingulate area, dorsal part, layer 5",59,3003,0.0196470196470196
"94","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","inferior cerebellar peduncle",2,3003,0.000666000666000666
"95","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Agranular insular area, ventral part, layer 5",7,3003,0.00233100233100233
"96","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Secondary motor area, layer 1",10,3003,0.00333000333000333
"97","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Crus 2",41,3003,0.0136530136530137
"98","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Infralimbic area, layer 6a",8,3003,0.00266400266400266
"99","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Orbital area, lateral part, layer 5",11,3003,0.00366300366300366
"100","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Principal sensory nucleus of the trigeminal",3,3003,0.000999000999000999
"101","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","dorsal hippocampal commissure",2,3003,0.000666000666000666
"102","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Striatum",14,3003,0.00466200466200466
"103","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, trunk, layer 2/3",3,3003,0.000999000999000999
"104","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Intercalated amygdalar nucleus",2,3003,0.000666000666000666
"105","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Inferior colliculus, dorsal nucleus",5,3003,0.00166500166500167
"106","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Orbital area, ventrolateral part, layer 2/3",5,3003,0.00166500166500167
"107","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Anterior cingulate area, ventral part, 6a",23,3003,0.00765900765900766
"108","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Retrosplenial area, ventral part, layer 5",5,3003,0.00166500166500167
"109","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Orbital area, ventrolateral part, layer 1",6,3003,0.001998001998002
"110","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Dorsal cochlear nucleus",6,3003,0.001998001998002
"111","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Cortical amygdalar area, posterior part, medial zone",13,3003,0.00432900432900433
"112","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Folium-tuber vermis (VII)",11,3003,0.00366300366300366
"113","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Red nucleus",2,3003,0.000666000666000666
"114","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary auditory area, layer 2/3",6,3003,0.001998001998002
"115","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Temporal association areas, layer 5",2,3003,0.000666000666000666
"116","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Supplemental somatosensory area, layer 5",24,3003,0.00799200799200799
"117","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Medial vestibular nucleus",2,3003,0.000666000666000666
"118","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Field CA1",53,3003,0.0176490176490176
"119","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Visceral area, layer 6a",6,3003,0.001998001998002
"120","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Retrosplenial area, dorsal part, layer 1",7,3003,0.00233100233100233
"121","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Claustrum",5,3003,0.00166500166500167
"122","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Paraventricular nucleus of the thalamus",2,3003,0.000666000666000666
"123","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Entorhinal area, lateral part, layer 5",12,3003,0.003996003996004
"124","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Agranular insular area, posterior part, layer 5",4,3003,0.00133200133200133
"125","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Central amygdalar nucleus, capsular part",3,3003,0.000999000999000999
"126","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Parvicellular reticular nucleus",5,3003,0.00166500166500167
"127","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Magnocellular reticular nucleus",2,3003,0.000666000666000666
"128","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","lateral lemniscus",3,3003,0.000999000999000999
"129","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, barrel field, layer 4",7,3003,0.00233100233100233
"130","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Anterior cingulate area, ventral part, layer 5",50,3003,0.0166500166500167
"131","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Spinal nucleus of the trigeminal, oral part",5,3003,0.00166500166500167
"132","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, mouth, layer 2/3",7,3003,0.00233100233100233
"133","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Taenia tecta, dorsal part",2,3003,0.000666000666000666
"134","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","corpus callosum, anterior forceps",7,3003,0.00233100233100233
"135","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Entorhinal area, lateral part, layer 1",5,3003,0.00166500166500167
"136","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary auditory area, layer 6a",2,3003,0.000666000666000666
"137","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Paraflocculus",78,3003,0.025974025974026
"138","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Fields of Forel",2,3003,0.000666000666000666
"139","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary motor area, Layer 5",31,3003,0.0103230103230103
"140","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","stria terminalis",2,3003,0.000666000666000666
"141","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Anteromedial visual area, layer 5",7,3003,0.00233100233100233
"142","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Basomedial amygdalar nucleus, posterior part",2,3003,0.000666000666000666
"143","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Tuberal nucleus",3,3003,0.000999000999000999
"144","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Lateral preoptic area",2,3003,0.000666000666000666
"145","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Agranular insular area, dorsal part, layer 5",21,3003,0.00699300699300699
"146","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Bed nuclei of the stria terminalis",4,3003,0.00133200133200133
"147","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Cortical amygdalar area, anterior part",17,3003,0.00566100566100566
"148","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Secondary motor area, layer 6a",26,3003,0.00865800865800866
"149","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Pontine reticular nucleus, caudal part",4,3003,0.00133200133200133
"150","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Interposed nucleus",3,3003,0.000999000999000999
"151","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Cortical amygdalar area, posterior part, lateral zone",11,3003,0.00366300366300366
"152","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Gustatory areas, layer 5",3,3003,0.000999000999000999
"153","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Supplemental somatosensory area, layer 6a",11,3003,0.00366300366300366
"154","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Retrosplenial area, lateral agranular part, layer 2/3",10,3003,0.00333000333000333
"155","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary visual area, layer 2/3",38,3003,0.0126540126540127
"156","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","cingulum bundle",8,3003,0.00266400266400266
"157","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, barrel field, layer 1",3,3003,0.000999000999000999
"158","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Crus 1",116,3003,0.0386280386280386
"159","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Anterior cingulate area, dorsal part, layer 1",6,3003,0.001998001998002
"160","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Prelimbic area, layer 1",15,3003,0.004995004995005
"161","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Nucleus incertus",2,3003,0.000666000666000666
"162","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Hippocampal formation",2,3003,0.000666000666000666
"163","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Posterolateral visual area, layer 2/3",9,3003,0.002997002997003
"164","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Ventral auditory area, layer 5",3,3003,0.000999000999000999
"165","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Ectorhinal area/Layer 6a",3,3003,0.000999000999000999
"166","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, barrel field, layer 5",5,3003,0.00166500166500167
"167","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Copula pyramidis",16,3003,0.00532800532800533
"168","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Nucleus of the lateral lemniscus",2,3003,0.000666000666000666
"169","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Main olfactory bulb",26,3003,0.00865800865800866
"170","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Posterolateral visual area, layer 6a",2,3003,0.000666000666000666
"171","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Infralimbic area, layer 5",23,3003,0.00765900765900766
"172","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, nose, layer 4",6,3003,0.001998001998002
"173","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Nucleus of the lateral olfactory tract, pyramidal layer",3,3003,0.000999000999000999
"174","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Retrosplenial area, ventral part, layer 1",6,3003,0.001998001998002
"175","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Declive (VI)",74,3003,0.0246420246420246
"176","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Entorhinal area, medial part, dorsal zone, layer 6",4,3003,0.00133200133200133
"177","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Endopiriform nucleus, ventral part",9,3003,0.002997002997003
"178","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Nucleus of the trapezoid body",4,3003,0.00133200133200133
"179","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Piriform area",122,3003,0.0406260406260406
"180","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","external capsule",6,3003,0.001998001998002
"181","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, upper limb, layer 6a",3,3003,0.000999000999000999
"182","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Secondary motor area, layer 5",49,3003,0.0163170163170163
"183","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Entorhinal area, lateral part, layer 2",10,3003,0.00333000333000333
"184","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Anterior cingulate area, ventral part, layer 1",11,3003,0.00366300366300366
"185","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Caudoputamen",91,3003,0.0303030303030303
"186","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Piriform-amygdalar area",49,3003,0.0163170163170163
"187","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Paramedian lobule",38,3003,0.0126540126540127
"188","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Retrosplenial area, lateral agranular part, layer 1",10,3003,0.00333000333000333
"189","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary visual area, layer 1",29,3003,0.00965700965700966
"190","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","lateral recess",5,3003,0.00166500166500167
"191","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Agranular insular area, dorsal part, layer 6a",6,3003,0.001998001998002
"192","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Substantia innominata",25,3003,0.00832500832500833
"193","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Medial amygdalar nucleus",19,3003,0.00632700632700633
"194","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Pallidum",2,3003,0.000666000666000666
"195","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, mouth, layer 6a",6,3003,0.001998001998002
"196","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Fundus of striatum",2,3003,0.000666000666000666
"197","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Supplemental somatosensory area, layer 2/3",13,3003,0.00432900432900433
"198","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Spinal nucleus of the trigeminal, interpolar part",5,3003,0.00166500166500167
"199","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Lateral visual area, layer 1",2,3003,0.000666000666000666
"200","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Posterolateral visual area, layer 1",13,3003,0.00432900432900433
"201","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","optic chiasm",4,3003,0.00133200133200133
"202","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Simple lobule",90,3003,0.02997002997003
"203","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","rubrospinal tract",3,3003,0.000999000999000999
"204","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, nose, layer 1",2,3003,0.000666000666000666
"205","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Gustatory areas, layer 4",2,3003,0.000666000666000666
"206","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Lobule III",4,3003,0.00133200133200133
"207","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Perirhinal area, layer 2/3",3,3003,0.000999000999000999
"208","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary visual area, layer 5",16,3003,0.00532800532800533
"209","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, nose, layer 2/3",7,3003,0.00233100233100233
"210","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Secondary motor area, layer 2/3",18,3003,0.00599400599400599
"211","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","spinal tract of the trigeminal nerve",9,3003,0.002997002997003
"212","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Ectorhinal area/Layer 2/3",2,3003,0.000666000666000666
"213","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Orbital area, lateral part, layer 2/3",10,3003,0.00333000333000333
"214","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Primary somatosensory area, barrel field, layer 2/3",6,3003,0.001998001998002
"215","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Anterior cingulate area, ventral part, layer 2/3",14,3003,0.00466200466200466
"216","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Supplemental somatosensory area, layer 1",3,3003,0.000999000999000999
"217","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Nucleus of the solitary tract",6,3003,0.001998001998002
"218","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Visceral area, layer 5",5,3003,0.00166500166500167
"219","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Superior colliculus, motor related, intermediate gray layer",2,3003,0.000666000666000666
"220","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Basolateral amygdalar nucleus, posterior part",4,3003,0.00133200133200133
"221","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Retrosplenial area, dorsal part, layer 2/3",11,3003,0.00366300366300366
"222","CAGE3493173 ANIMAL5 CORTCONTROL","Vehicle","Supplemental somatosensory area, layer 4",16,3003,0.00532800532800533
